日期,市场,原因,安排
2025-01-01,A股市场,元旦,休市1天，1月2日（星期四）起照常开市
2025-01-01,港股市场,元旦,休市1天，1月2日（星期四）起照常开市
2025-01-01,美股市场,元旦,休市1天
2025-01-20,美股市场,马丁路德金日,休市1天
2025-01-28,A股市场,春节（除夕）,休市8天，2月5日（星期三）起照常开市
2025-01-28,港股市场,春节（除夕）,1月28日上午开市，下午休市；1月29日至1月31日休市，2月3日（星期一）起照常开市
2025-02-17,美股市场,总统日,休市1天
2025-04-04,A股市场,清明节,休市3天，4月7日（星期一）起照常开市
2025-04-04,港股市场,清明节,休市3天，4月7日（星期一）起照常开市
2025-04-18,港股市场,耶稣受难节,休市4天，4月22日（星期二）起照常开市
2025-04-18,美股市场,耶稣受难日,休市1天
2025-05-01,A股市场,劳动节,休市5天，5月6日（星期二）起照常开市
2025-05-01,港股市场,劳动节,休市5天，5月6日（星期二）起照常开市
2025-05-26,美股市场,阵亡将士纪念日,休市1天
2025-05-31,A股市场,端午节,休市3天，6月3日（星期二）起照常开市
2025-05-31,港股市场,端午节,休市3天，6月3日（星期二）起照常开市
2025-06-19,美股市场,六月节,休市1天
2025-07-01,港股市场,香港特别行政区成立纪念日,休市1天，7月2日（星期三）起照常开市
2025-07-04,美股市场,独立日,休市1天；7月3日（星期四）提前3小时休市
2025-09-01,美股市场,劳动节,休市1天
2025-10-01,A股市场,国庆节、中秋节,休市8天，10月9日（星期四）起照常开市
2025-10-01,港股市场,国庆节,休市1天
2025-10-07,港股市场,中秋节翌日,休市1天
2025-10-29,港股市场,重阳节,休市1天，10月30日（星期四）起照常开市
2025-11-27,美股市场,感恩节,休市1天；11月28日（星期五）提前3小时休市
2025-12-24,港股市场,圣诞节,12月24日下午休市，12月25日至26日休市，12月29日（星期一）起照常开市
2025-12-24,美股市场,圣诞节,12月24日提前3小时休市；12月25日（星期四）休市
2025-12-25,美股市场,圣诞节,休市1天
